temperature,humidity,time
30.0,36.0,2023-07-06 17:17:06.300848
30.0,37.0,2023-07-06 17:17:07.826704
30.0,37.0,2023-07-06 17:17:09.353218
31.0,37.0,2023-07-06 17:17:10.879074
31.0,37.0,2023-07-06 17:17:12.405501
31.0,37.0,2023-07-06 17:17:13.931192
31.0,38.0,2023-07-06 17:17:15.458336
31.0,38.0,2023-07-06 17:17:19.510990
31.0,37.0,2023-07-06 17:17:21.037079
31.0,37.0,2023-07-06 17:17:22.563178
31.0,37.0,2023-07-06 17:17:24.088962
31.0,37.0,2023-07-06 17:17:25.614847
31.0,37.0,2023-07-06 17:17:27.140633
31.0,38.0,2023-07-06 17:17:28.666486
31.0,38.0,2023-07-06 17:17:30.192302
31.0,38.0,2023-07-06 17:17:31.718207
31.0,37.0,2023-07-06 17:17:33.244195
31.0,37.0,2023-07-06 17:17:34.770387
31.0,37.0,2023-07-06 17:17:36.296979
31.0,37.0,2023-07-06 17:17:37.822874
31.0,37.0,2023-07-06 17:17:39.349461
31.0,37.0,2023-07-06 17:17:40.875639
31.0,37.0,2023-07-06 17:17:42.402095
31.0,37.0,2023-07-06 17:17:43.927876
31.0,37.0,2023-07-06 17:17:45.454252
31.0,37.0,2023-07-06 17:17:49.511249
31.0,37.0,2023-07-06 17:17:51.036969
31.0,37.0,2023-07-06 17:17:52.562704
31.0,37.0,2023-07-06 17:17:54.088460
31.0,37.0,2023-07-06 17:17:55.614278
31.0,37.0,2023-07-06 17:18:02.194690
31.0,36.0,2023-07-06 17:18:06.253594
31.0,36.0,2023-07-06 17:18:07.779466
31.0,36.0,2023-07-06 17:18:14.366878
31.0,36.0,2023-07-06 17:18:15.892637
31.0,36.0,2023-07-06 17:18:17.419061
31.0,36.0,2023-07-06 17:18:18.944864
31.0,36.0,2023-07-06 17:18:20.471215
31.0,36.0,2023-07-06 17:18:21.996977
31.0,36.0,2023-07-06 17:18:23.522773
31.0,36.0,2023-07-06 17:18:25.048516
31.0,36.0,2023-07-06 17:18:26.574268
31.0,36.0,2023-07-06 17:18:28.100010
31.0,36.0,2023-07-06 17:18:29.625815
31.0,36.0,2023-07-06 17:18:31.151555
31.0,36.0,2023-07-06 17:18:32.677337
31.0,36.0,2023-07-06 17:18:34.203072
31.0,36.0,2023-07-06 17:18:35.728837
31.0,36.0,2023-07-06 17:18:37.254548
31.0,36.0,2023-07-06 17:18:38.780366
31.0,36.0,2023-07-06 17:18:40.306273
31.0,36.0,2023-07-06 17:18:41.832193
31.0,36.0,2023-07-06 17:18:43.358646
31.0,36.0,2023-07-06 17:18:44.884505
31.0,36.0,2023-07-06 17:18:46.410982
31.0,36.0,2023-07-06 17:18:47.936782
31.0,36.0,2023-07-06 17:18:49.464196
31.0,36.0,2023-07-06 17:18:50.990024
31.0,36.0,2023-07-06 17:18:52.515941
31.0,36.0,2023-07-06 17:18:56.568305
31.0,36.0,2023-07-06 17:18:58.094105
31.0,36.0,2023-07-06 17:18:59.619897
31.0,36.0,2023-07-06 17:19:01.145633
31.0,36.0,2023-07-06 17:19:02.671440
31.0,36.0,2023-07-06 17:19:04.197287
31.0,36.0,2023-07-06 17:19:08.254664
31.0,36.0,2023-07-06 17:19:09.780477
31.0,36.0,2023-07-06 17:19:11.306820
31.0,36.0,2023-07-06 17:19:12.832572
31.0,37.0,2023-07-06 17:19:14.358875
31.0,37.0,2023-07-06 17:19:15.884624
31.0,37.0,2023-07-06 17:19:17.411043
31.0,42.0,2023-07-06 17:19:18.936910
31.0,46.0,2023-07-06 17:19:20.464387
31.0,48.0,2023-07-06 17:19:21.990476
31.0,50.0,2023-07-06 17:19:23.516670
31.0,52.0,2023-07-06 17:19:25.042874
31.0,54.0,2023-07-06 17:19:26.569086
31.0,57.0,2023-07-06 17:19:28.095388
31.0,60.0,2023-07-06 17:19:29.621617
31.0,59.0,2023-07-06 17:19:31.148022
31.0,57.0,2023-07-06 17:19:32.674390
31.0,55.0,2023-07-06 17:19:34.201185
31.0,53.0,2023-07-06 17:19:35.727562
31.0,51.0,2023-07-06 17:19:37.254345
31.0,49.0,2023-07-06 17:19:38.780624
31.0,48.0,2023-07-06 17:19:40.307794
31.0,46.0,2023-07-06 17:19:41.834128
31.0,45.0,2023-07-06 17:19:43.361528
31.0,44.0,2023-07-06 17:19:44.887819
31.0,43.0,2023-07-06 17:19:46.415212
31.0,42.0,2023-07-06 17:19:50.468821
31.0,41.0,2023-07-06 17:19:54.525483
31.0,40.0,2023-07-06 17:19:56.051604
31.0,40.0,2023-07-06 17:19:57.577429
31.0,39.0,2023-07-06 17:19:59.103387
31.0,39.0,2023-07-06 17:20:00.629718
31.0,39.0,2023-07-06 17:20:02.155968
31.0,38.0,2023-07-06 17:20:03.682182
31.0,38.0,2023-07-06 17:20:05.209068
31.0,38.0,2023-07-06 17:20:06.735355
31.0,37.0,2023-07-06 17:20:08.262394
31.0,37.0,2023-07-06 17:20:09.788351
31.0,37.0,2023-07-06 17:20:13.847190
31.0,37.0,2023-07-06 17:20:15.373532
31.0,37.0,2023-07-06 17:20:16.903792
31.0,37.0,2023-07-06 17:20:18.430257
31.0,37.0,2023-07-06 17:20:19.956092
31.0,37.0,2023-07-06 17:20:21.482350
31.0,36.0,2023-07-06 17:20:25.534309
31.0,36.0,2023-07-06 17:20:27.060129
31.0,36.0,2023-07-06 17:20:33.642284
31.0,36.0,2023-07-06 17:20:35.168031
31.0,36.0,2023-07-06 17:20:36.694219
31.0,37.0,2023-07-06 17:20:38.220083
31.0,37.0,2023-07-06 17:20:39.745888
31.0,37.0,2023-07-06 17:20:41.271774
31.0,37.0,2023-07-06 17:20:42.797554
31.0,37.0,2023-07-06 17:20:44.324129
31.0,37.0,2023-07-06 17:20:45.849805
31.0,37.0,2023-07-06 17:20:47.376259
31.0,37.0,2023-07-06 17:20:48.902044
31.0,36.0,2023-07-06 17:20:50.428468
31.0,36.0,2023-07-06 17:20:51.954211
31.0,36.0,2023-07-06 17:20:53.480461
31.0,36.0,2023-07-06 17:20:55.006161
31.0,36.0,2023-07-06 17:20:56.531910
31.0,36.0,2023-07-06 17:20:58.057611
31.0,36.0,2023-07-06 17:20:59.583361
31.0,36.0,2023-07-06 17:21:01.109068
31.0,36.0,2023-07-06 17:21:02.635182
31.0,35.0,2023-07-06 17:21:04.161378
31.0,35.0,2023-07-06 17:21:05.687600
31.0,35.0,2023-07-06 17:21:07.214411
31.0,35.0,2023-07-06 17:21:08.740732
31.0,35.0,2023-07-06 17:21:10.266794
31.0,36.0,2023-07-06 17:21:11.792909
31.0,36.0,2023-07-06 17:21:13.318995
31.0,36.0,2023-07-06 17:21:14.844823
31.0,36.0,2023-07-06 17:21:16.371396
31.0,36.0,2023-07-06 17:21:17.897222
31.0,36.0,2023-07-06 17:21:19.424462
31.0,36.0,2023-07-06 17:21:23.477539
31.0,36.0,2023-07-06 17:21:25.003606
31.0,36.0,2023-07-06 17:21:26.529684
31.0,36.0,2023-07-06 17:21:28.055734
31.0,36.0,2023-07-06 17:21:29.581831
31.0,36.0,2023-07-06 17:21:31.107964
31.0,36.0,2023-07-06 17:21:32.634173
31.0,36.0,2023-07-06 17:21:34.160282
31.0,36.0,2023-07-06 17:21:38.214578
31.0,36.0,2023-07-06 17:21:39.740775
31.0,36.0,2023-07-06 17:21:41.267952
31.0,36.0,2023-07-06 17:21:42.793876
31.0,36.0,2023-07-06 17:21:44.320460
31.0,36.0,2023-07-06 17:21:45.846479
31.0,36.0,2023-07-06 17:21:47.372939
31.0,36.0,2023-07-06 17:21:48.898874
31.0,36.0,2023-07-06 17:21:50.425287
31.0,36.0,2023-07-06 17:21:54.481369
31.0,36.0,2023-07-06 17:21:56.007248
31.0,36.0,2023-07-06 17:21:57.533380
31.0,36.0,2023-07-06 17:21:59.059118
31.0,35.0,2023-07-06 17:22:00.584908
31.0,35.0,2023-07-06 17:22:02.110636
31.0,35.0,2023-07-06 17:22:03.636420
31.0,35.0,2023-07-06 17:22:05.162162
31.0,35.0,2023-07-06 17:22:06.688076
31.0,35.0,2023-07-06 17:22:08.213974
31.0,36.0,2023-07-06 17:22:09.739853
31.0,36.0,2023-07-06 17:22:11.265786
31.0,36.0,2023-07-06 17:22:12.791612
31.0,36.0,2023-07-06 17:22:14.317905
31.0,36.0,2023-07-06 17:22:18.370803
31.0,36.0,2023-07-06 17:22:19.896656
31.0,36.0,2023-07-06 17:22:21.422964
31.0,36.0,2023-07-06 17:22:22.948746
31.0,35.0,2023-07-06 17:22:24.475213
31.0,35.0,2023-07-06 17:22:26.001042
